Season,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR
2018,Justin Verlander,Astros,16,9,0,34,34,214,12.2,1.56,1.18,0.272,0.853,0.291,0.111,2.52,2.78,3.03,6.8
2018,Gerrit Cole,Astros,15,5,0,32,32,200.1,12.4,2.88,0.85,0.286,0.779,0.36,0.1,2.88,2.7,3.04,6.3
2018,Trevor Bauer,Indians,12,6,0,27,27,171.1,11.5,2.99,0.47,0.301,0.793,0.441,0.063,2.26,2.44,3.14,6
2018,Luis Severino,Yankees,19,8,0,32,32,191.1,10.35,2.16,0.89,0.314,0.75,0.411,0.114,3.39,2.95,3.1,5.7
2018,Corey Kluber,Indians,20,7,0,33,33,215,9.29,1.42,1.05,0.276,0.779,0.444,0.131,2.89,3.12,3.08,5.6
2018,Carlos Carrasco,Indians,16,9,0,30,30,186.2,10.66,1.88,1.01,0.314,0.753,0.465,0.132,3.33,2.98,2.92,5.1
2018,Blake Snell,Rays,21,5,0,31,31,180.2,11.01,3.19,0.8,0.241,0.88,0.447,0.107,1.89,2.95,3.16,4.6
2018,Mike Clevinger,Indians,13,8,0,32,32,200,9.32,3.02,0.95,0.28,0.798,0.405,0.102,3.02,3.52,3.86,4.3
2018,Dallas Keuchel,Astros,12,11,0,34,34,204.2,6.73,2.55,0.79,0.3,0.728,0.537,0.113,3.74,3.69,3.84,3.6
2018,Jose Berrios,Twins,12,11,0,32,32,192.1,9.45,2.85,1.17,0.27,0.758,0.415,0.128,3.84,3.9,3.89,3.3
2018,J.A. Happ,- - -,17,6,0,31,31,177.2,9.78,2.58,1.37,0.272,0.749,0.401,0.134,3.65,3.98,3.88,3.2
2018,Kyle Gibson,Twins,10,13,0,32,32,196.2,8.19,3.62,1.05,0.285,0.755,0.498,0.148,3.62,4.13,3.91,2.8
2018,Andrew Heaney,Angels,9,10,0,30,30,180,9,2.25,1.35,0.294,0.714,0.412,0.152,4.15,3.99,3.68,2.8
2018,Rick Porcello,Red Sox,17,7,0,33,33,191.1,8.94,2.26,1.27,0.285,0.709,0.441,0.138,4.28,4.01,3.87,2.7
2018,David Price,Red Sox,16,7,0,30,30,176,9.05,2.56,1.28,0.274,0.773,0.401,0.132,3.58,4.02,3.95,2.7
2018,Mike Leake,Mariners,10,10,0,31,31,185.2,5.77,1.65,1.11,0.306,0.694,0.487,0.126,4.36,4.14,4.15,2.3
2018,Matthew Boyd,Tigers,9,13,0,31,31,170.1,8.4,2.69,1.43,0.258,0.711,0.29,0.112,4.39,4.45,4.72,2
2018,Reynaldo Lopez,White Sox,7,10,0,32,32,188.2,7.2,3.58,1.19,0.26,0.754,0.33,0.095,3.91,4.63,5.22,2
2018,Jakob Junis,Royals,9,12,0,30,30,177,8.34,2.19,1.63,0.298,0.748,0.42,0.162,4.37,4.64,4.13,1.3
2018,James Shields,White Sox,7,15,0,33,33,204,6.79,3.35,1.5,0.26,0.705,0.354,0.128,4.5,5.07,5.05,0.9
2018,Dylan Bundy,Orioles,8,16,0,31,31,171.2,9.65,2.83,2.15,0.316,0.693,0.34,0.178,5.45,5.17,4.28,0.8
2018,Lucas Giolito,White Sox,10,13,0,32,32,173.1,6.49,4.67,1.4,0.268,0.635,0.444,0.134,6.13,5.56,5.46,-0.2
