Name,Team,W,L,ERA,GS,CG,ShO,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,SO
Blake Snell,Rays,21,5,1.89,31,0,0,180.2,700,112,41,38,16,64,2,1,13,221
Trevor Bauer,Indians,12,6,2.26,27,0,0,171.1,703,132,51,43,9,57,2,9,12,219
Justin Verlander,Astros,16,9,2.52,34,1,1,214,833,156,63,60,28,37,0,8,5,290
Gerrit Cole,Astros,15,5,2.88,32,1,1,200.1,799,143,68,64,19,64,0,7,9,276
Corey Kluber,Indians,20,7,2.89,33,2,1,215,842,179,75,69,25,34,0,3,2,222
Mike Clevinger,Indians,13,8,3.02,32,1,1,200,810,164,71,67,21,67,0,4,4,207
Charlie Morton,Astros,15,3,3.13,30,0,0,167,695,130,63,58,18,64,0,16,4,201
Mike Fiers,- - -,12,7,3.31,30,0,0,168.2,696,159,65,62,30,37,1,7,4,136
Carlos Carrasco,Indians,16,9,3.33,30,2,0,186.2,759,169,75,69,21,39,4,6,9,221
Luis Severino,Yankees,19,8,3.39,32,1,1,191.1,780,173,76,72,19,46,0,5,8,220
David Price,Red Sox,16,7,3.58,30,1,0,176,722,151,75,70,25,50,0,10,1,177
Kyle Gibson,Twins,10,13,3.62,32,0,0,196.2,826,177,88,79,23,79,2,4,8,179
J.A. Happ,- - -,17,6,3.65,31,0,0,177.2,733,150,81,72,27,51,0,9,4,193
Dallas Keuchel,Astros,12,11,3.74,34,1,0,204.2,874,211,92,85,18,58,0,2,9,153
Jose Berrios,Twins,12,11,3.84,32,2,1,192.1,797,159,83,82,25,61,1,13,2,202
Reynaldo Lopez,White Sox,7,10,3.91,32,0,0,188.2,799,165,88,82,25,75,1,10,7,151
Marco Gonzales,Mariners,13,9,4,29,1,0,166.2,686,172,76,74,17,32,0,6,2,145
Andrew Heaney,Angels,9,10,4.15,30,1,1,180,749,171,91,83,27,45,0,8,9,180
Rick Porcello,Red Sox,17,7,4.28,33,1,0,191.1,808,177,97,91,27,48,0,16,3,190
Mike Leake,Mariners,10,10,4.36,31,0,0,185.2,784,207,98,90,23,34,3,6,2,119
Jakob Junis,Royals,9,12,4.37,30,1,0,177,758,182,94,86,32,43,1,15,9,164
Matthew Boyd,Tigers,9,13,4.39,31,0,0,170.1,709,146,87,83,27,51,0,11,6,159
Jake Odorizzi,Twins,7,10,4.49,32,0,0,164.1,711,151,89,82,20,70,3,8,1,162
James Shields,White Sox,7,15,4.5,33,0,0,204,865,188,114,102,34,76,0,9,11,154
Dylan Bundy,Orioles,8,16,5.45,31,1,0,171.2,750,188,116,104,41,54,1,6,6,184
Lucas Giolito,White Sox,10,13,6.13,32,0,0,173.1,775,166,123,118,27,90,2,15,13,125
