Season,Name,Team,W,L,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR
2018,Jacob deGrom,Mets,10,9,32,32,217,11.16,1.91,0.41,0.281,0.82,0.464,0.063,1.7,1.99,2.6,8.8
2018,Max Scherzer,Nationals,18,7,33,33,220.2,12.24,2.08,0.94,0.265,0.813,0.343,0.097,2.53,2.65,3.06,7.2
2018,Patrick Corbin,Diamondbacks,11,7,33,33,200,11.07,2.16,0.68,0.302,0.747,0.485,0.111,3.15,2.47,2.61,6.3
2018,Aaron Nola,Phillies,17,6,33,33,212.1,9.49,2.46,0.72,0.251,0.825,0.506,0.106,2.37,3.01,3.21,5.6
2018,German Marquez,Rockies,14,11,33,33,196,10.56,2.62,1.1,0.311,0.732,0.473,0.157,3.77,3.4,3.1,4.5
2018,Miles Mikolas,Cardinals,18,4,32,32,200.2,6.55,1.3,0.72,0.279,0.762,0.493,0.092,2.83,3.28,3.67,4.3
2018,Kyle Freeland,Rockies,17,7,33,33,202.1,7.7,3.11,0.76,0.285,0.828,0.46,0.085,2.85,3.67,4.22,4.2
2018,Zack Wheeler,Mets,12,7,29,29,182.1,8.84,2.71,0.69,0.279,0.746,0.442,0.081,3.31,3.25,3.81,4.1
2018,Mike Foltynewicz,Braves,13,10,31,31,183,9.93,3.34,0.84,0.251,0.771,0.431,0.096,2.85,3.37,3.77,3.9
2018,Jameson Taillon,Pirates,14,10,32,32,191,8.43,2.17,0.94,0.298,0.798,0.462,0.117,3.2,3.46,3.58,3.7
2018,Zack Greinke,Diamondbacks,15,11,33,33,207.2,8.62,1.86,1.21,0.272,0.802,0.451,0.15,3.21,3.71,3.44,3.5
2018,Kyle Hendricks,Cubs,14,11,33,33,199,7.28,1.99,0.99,0.281,0.752,0.47,0.12,3.44,3.78,3.87,3.2
2018,Zack Godley,Diamondbacks,15,11,32,32,177.1,9.29,4.06,0.81,0.323,0.672,0.49,0.114,4.77,3.83,3.96,2.7
2018,Jon Gray,Rockies,12,9,31,31,172.1,9.56,2.72,1.41,0.322,0.679,0.475,0.181,5.12,4.08,3.47,2.7
2018,Jhoulys Chacin,Brewers,15,8,35,35,192.2,7.29,3.32,0.84,0.25,0.725,0.422,0.093,3.5,4.03,4.47,2.6
2018,Trevor Williams,Pirates,14,10,31,31,170.2,6.64,2.9,0.79,0.261,0.766,0.408,0.08,3.11,3.86,4.54,2.5
2018,Tanner Roark,Nationals,9,14,30,30,180,7.3,2.5,1.15,0.295,0.73,0.408,0.113,4.25,4.2,4.41,2.2
2018,Gio Gonzalez,- - -,10,11,32,32,171,7.79,4.21,0.89,0.301,0.733,0.453,0.104,4.21,4.16,4.44,2
2018,Jake Arrieta,Phillies,10,11,31,31,172.2,7.19,2.97,1.09,0.287,0.681,0.516,0.143,3.96,4.26,4.08,2
2018,Tyler Anderson,Rockies,7,9,32,32,176,8.39,3.02,1.53,0.281,0.719,0.367,0.152,4.55,4.57,4.21,2
2018,Jose Urena,Marlins,9,12,31,31,174,6.72,2.64,0.98,0.272,0.732,0.496,0.115,3.98,4.17,4.32,1.8
2018,Jon Lester,Cubs,18,6,32,32,181.2,7.38,3.17,1.19,0.29,0.803,0.377,0.124,3.32,4.39,4.43,1.7
2018,Jose Quintana,Cubs,13,11,32,32,174.1,8.16,3.51,1.29,0.282,0.768,0.432,0.147,4.03,4.43,4.18,1.4
2018,Julio Teheran,Braves,9,9,31,31,175.2,8.3,4.3,1.33,0.217,0.756,0.38,0.135,3.94,4.83,4.72,0.7
